<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: WHY_Executive_Demo_Dataset.csv>index,Date,YearMonth,Year,MonthNo,Month,Country Code,Country,Sales Channel Code,Sales Channel,Product Group Code,Product Group,Gross Revenue,Currency
96,2025-04-01,2025-04,2025,4,Apr,FR,France,ONLINE,Online,SVC,Services & Support,12094.26,EUR
97,2026-04-01,2026-04,2026,4,Apr,FR,France,ONLINE,Online,SVC,Services & Support,11238.38,EUR
98,2025-05-01,2025-05,2025,5,May,FR,France,ONLINE,Online,SVC,Services & Support,12823.22,EUR
99,2026-05-01,2026-05,2026,5,May,FR,France,ONLINE,Online,SVC,Services & Support,12494.19,EUR
100,2025-06-01,2025-06,2025,6,Jun,FR,France,ONLINE,Online,SVC,Services & Support,13445.06,EUR
101,2026-06-01,2026-06,2026,6,Jun,FR,France,ONLINE,Online,SVC,Services & Support,13949.16,EUR
102,2025-07-01,2025-07,2025,7,Jul,FR,France,ONLINE,Online,SVC,Services & Support,14235.93,EUR
103,2026-07-01,2026-07,2026,7,Jul,FR,France,ONLINE,Online,SVC,Services & Support,15411.85,EUR
104,2025-08-01,2025-08,2025,8,Aug,FR,France,ONLINE,Online,SVC,Services & Support,15459.55,EUR
105,2026-08-01,2026-08,2026,8,Aug,FR,France,ONLINE,Online,SVC,Services & Support,17015.48,EUR
106,2025-09-01,2025-09,2025,9,Sep,FR,France,ONLINE,Online,SVC,Services & Support,17047.52,EUR
107,2026-09-01,2026-09,2026,9,Sep,FR,France,ONLINE,Online,SVC,Services & Support,19224.66,EUR
108,2025-01-01,2025-01,2025,1,Jan,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,13731.64,EUR
109,2026-01-01,2026-01,2026,1,Jan,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,13455.81,EUR
110,2025-02-01,2025-02,2025,2,Feb,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,14676.09,EUR
111,2026-02-01,2026-02,2026,2,Feb,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,14434.21,EUR
112,2025-03-01,2025-03,2025,3,Mar,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,15688.18,EUR
113,2026-03-01,2026-03,2026,3,Mar,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,15486.19,EUR
114,2025-04-01,2025-04,2025,4,Apr,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,16347.2,EUR
115,2026-04-01,2026-04,2026,4,Apr,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,16166.19,EUR
116,2025-05-01,2025-05,2025,5,May,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,16334.31,EUR
117,2026-05-01,2026-05,2026,5,May,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,16182.9,EUR
118,2025-06-01,2025-06,2025,6,Jun,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,16152.17,EUR
119,2026-06-01,2026-06,2026,6,Jun,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,16031.58,EUR
120,2025-07-01,2025-07,2025,7,Jul,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,16460.26,EUR
121,2026-07-01,2026-07,2026,7,Jul,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,16367.03,EUR
122,2025-08-01,2025-08,2025,8,Aug,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,17932.51,EUR
123,2026-08-01,2026-08,2026,8,Aug,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,17863.28,EUR
124,2025-09-01,2025-09,2025,9,Sep,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,20231.29,EUR
125,2026-09-01,2026-09,2026,9,Sep,FR,France,PARTNER,Partner Sales,CE,Consumer Electronics,20189.68,EUR
126,2025-01-01,2025-01,2025,1,Jan,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,14846.65,EUR
127,2026-01-01,2026-01,2026,1,Jan,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,14659.5,EUR
128,2025-02-01,2025-02,2025,2,Feb,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,16186.86,EUR
129,2026-02-01,2026-02,2026,2,Feb,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,16041.2,EUR
130,2025-03-01,2025-03,2025,3,Mar,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,17650.96,EUR
131,2026-03-01,2026-03,2026,3,Mar,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,17555.79,EUR
132,2025-04-01,2025-04,2025,4,Apr,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,18762.11,EUR
133,2026-04-01,2026-04,2026,4,Apr,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,18694.79,EUR
134,2025-05-01,2025-05,2025,5,May,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,19124.19,EUR
135,2026-05-01,2026-05,2026,5,May,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,19090.05,EUR
136,2025-06-01,2025-06,2025,6,Jun,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,19291.21,EUR
137,2026-06-01,2026-06,2026,6,Jun,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,19291.57,EUR
138,2025-07-01,2025-07,2025,7,Jul,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,20054.67,EUR
139,2026-07-01,2026-07,2026,7,Jul,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,20091.21,EUR
140,2025-08-01,2025-08,2025,8,Aug,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,21396.74,EUR
141,2026-08-01,2026-08,2026,8,Aug,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,21474.31,EUR
142,2025-09-01,2025-09,2025,9,Sep,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,23432.21,EUR
143,2026-09-01,2026-09,2026,9,Sep,FR,France,PARTNER,Partner Sales,IND,Industrial Solutions,23559.42,EUR
144,2025-01-01,2025-01,2025,1,Jan,FR,France,PARTNER,Partner Sales,SVC,Services & Support,9180.69,EUR
145,2026-01-01,2026-01,2026,1,Jan,FR,France,PARTNER,Partner Sales,SVC,Services & Support,9039.18,EUR
146,2025-02-01,2025-02,2025,2,Feb,FR,France,PARTNER,Partner Sales,SVC,Services & Support,9810.22,EUR
147,2026-02-01,2026-02,2026,2,Feb,FR,France,PARTNER,Partner Sales,SVC,Services & Support,9694.39,EUR
148,2025-03-01,2025-03,2025,3,Mar,FR,France,PARTNER,Partner Sales,SVC,Services & Support,10484.67,EUR
149,2026-03-01,2026-03,2026,3,Mar,FR,France,PARTNER,Partner Sales,SVC,Services & Support,10398.69,EUR
150,2025-04-01,2025-04,2025,4,Apr,FR,France,PARTNER,Partner Sales,SVC,Services & Support,11145.81,EUR
151,2026-04-01,2026-04,2026,4,Apr,FR,France,PARTNER,Partner Sales,SVC,Services & Support,11074.5,EUR
152,2025-05-01,2025-05,2025,5,May,FR,France,PARTNER,Partner Sales,SVC,Services & Support,11362.01,EUR
153,2026-05-01,2026-05,2026,5,May,FR,France,PARTNER,Partner Sales,SVC,Services & Support,11309.82,EUR
154,2025-06-01,2025-06,2025,6,Jun,FR,France,PARTNER,Partner Sales,SVC,Services & Support,11462.35,EUR
155,2026-06-01,2026-06,2026,6,Jun,FR,France,PARTNER,Partner Sales,SVC,Services & Support,11430.36,EUR
156,2025-07-01,2025-07,2025,7,Jul,FR,France,PARTNER,Partner Sales,SVC,Services & Support,11685.7,EUR
157,2026-07-01,2026-07,2026,7,Jul,FR,France,PARTNER,Partner Sales,SVC,Services & Support,11674.16,EUR
158,2025-08-01,2025-08,2025,8,Aug,FR,France,PARTNER,Partner Sales,SVC,Services & Support,12226.71,EUR
159,2026-08-01,2026-08,2026,8,Aug,FR,France,PARTNER,Partner Sales,SVC,Services & Support,12236.68,EUR
160,2025-09-01,2025-09,2025,9,Sep,FR,France,PARTNER,Partner Sales,SVC,Services & Support,13263.51,EUR
161,2026-09-01,2026-09,2026,9,Sep,FR,France,PARTNER,Partner Sales,SVC,Services & Support,13298.26,EUR
162,2025-01-01,2025-01,2025,1,Jan,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,21639.78,EUR
163,2026-01-01,2026-01,2026,1,Jan,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,21528.74,EUR
164,2025-02-01,2025-02,2025,2,Feb,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,22467.76,EUR
165,2026-02-01,2026-02,2026,2,Feb,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,22433.54,EUR
166,2025-03-01,2025-03,2025,3,Mar,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,24017.18,EUR
167,2026-03-01,2026-03,2026,3,Mar,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,24067.24,EUR
168,2025-04-01,2025-04,2025,4,Apr,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,25023.56,EUR
169,2026-04-01,2026-04,2026,4,Apr,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,25120.87,EUR
170,2025-05-01,2025-05,2025,5,May,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,25519.18,EUR
171,2026-05-01,2026-05,2026,5,May,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,25664.45,EUR
172,2025-06-01,2025-06,2025,6,Jun,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,26002.13,EUR
173,2026-06-01,2026-06,2026,6,Jun,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,26197.05,EUR
174,2025-07-01,2025-07,2025,7,Jul,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,27009.07,EUR
175,2026-07-01,2026-07,2026,7,Jul,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,27260.27,EUR
176,2025-08-01,2025-08,2025,8,Aug,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,29993.14,EUR
177,2026-08-01,2026-08,2026,8,Aug,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,30326.19,EUR
178,2025-09-01,2025-09,2025,9,Sep,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,33483.87,EUR
179,2026-09-01,2026-09,2026,9,Sep,DE,Germany,DIRECT,Direct Sales,CE,Consumer Electronics,33916.1,EUR
180,2025-01-01,2025-01,2025,1,Jan,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,23396.93,EUR
181,2026-01-01,2026-01,2026,1,Jan,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,23451.91,EUR
182,2025-02-01,2025-02,2025,2,Feb,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,24780.62,EUR
183,2026-02-01,2026-02,2026,2,Feb,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,24928.28,EUR
184,2025-03-01,2025-03,2025,3,Mar,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,27022.03,EUR
185,2026-03-01,2026-03,2026,3,Mar,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,27280.57,EUR
186,2025-04-01,2025-04,2025,4,Apr,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,28720.23,EUR
187,2026-04-01,2026-04,2026,4,Apr,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,29046.84,EUR
188,2025-05-01,2025-05,2025,5,May,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,29877.83,EUR
189,2026-05-01,2026-05,2026,5,May,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,30271.51,EUR
190,2025-06-01,2025-06,2025,6,Jun,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,31055.42,EUR
191,2026-06-01,2026-06,2026,6,Jun,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,31520.66,EUR
192,2025-07-01,2025-07,2025,7,Jul,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,32907.02,EUR
193,2026-07-01,2026-07,2026,7,Jul,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,33459.37,EUR
194,2025-08-01,2025-08,2025,8,Aug,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,35787.27,EUR
195,2026-08-01,2026-08,2026,8,Aug,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,36452.54,EUR
196,2025-09-01,2025-09,2025,9,Sep,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,38781.58,EUR
197,2026-09-01,2026-09,2026,9,Sep,DE,Germany,DIRECT,Direct Sales,IND,Industrial Solutions,39572.5,EUR
198,2025-01-01,2025-01,2025,1,Jan,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,14467.9,EUR
199,2026-01-01,2026-01,2026,1,Jan,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,14461.27,EUR
200,2025-02-01,2025-02,2025,2,Feb,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,15018.56,EUR
201,2026-02-01,2026-02,2026,2,Feb,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,15065.87,EUR
202,2025-03-01,2025-03,2025,3,Mar,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,16051.09,EUR
203,2026-03-01,2026-03,2026,3,Mar,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,16159.57,EUR
204,2025-04-01,2025-04,2025,4,Apr,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,17061.52,EUR
205,2026-04-01,2026-04,2026,4,Apr,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,17207.63,EUR
206,2025-05-01,2025-05,2025,5,May,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,17750.94,EUR
207,2026-05-01,2026-05,2026,5,May,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,17934.97,EUR
208,2025-06-01,2025-06,2025,6,Jun,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,18452.34,EUR
209,2026-06-01,2026-06,2026,6,Jun,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,18676.94,EUR
210,2025-07-01,2025-07,2025,7,Jul,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,19174.67,EUR
211,2026-07-01,2026-07,2026,7,Jul,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,19442.65,EUR
212,2025-08-01,2025-08,2025,8,Aug,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,20449.87,EUR
213,2026-08-01,2026-08,2026,8,Aug,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,20772.56,EUR
214,2025-09-01,2025-09,2025,9,Sep,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,21951.84,EUR
215,2026-09-01,2026-09,2026,9,Sep,DE,Germany,DIRECT,Direct Sales,SVC,Services & Support,22337.84,EUR
216,2025-01-01,2025-01,2025,1,Jan,DE,Germany,ONLINE,Online,CE,Consumer Electronics,15648.96,EUR
217,2026-01-01,2026-01,2026,1,Jan,DE,Germany,ONLINE,Online,CE,Consumer Electronics,15641.94,EUR
218,2025-02-01,2025-02,2025,2,Feb,DE,Germany,ONLINE,Online,CE,Consumer Electronics,16740.69,EUR
219,2026-02-01,2026-02,2026,2,Feb,DE,Germany,ONLINE,Online,CE,Consumer Electronics,16793.59,EUR
220,2025-03-01,2025-03,2025,3,Mar,DE,Germany,ONLINE,Online,CE,Consumer Electronics,18633.32,EUR
221,2026-03-01,2026-03,2026,3,Mar,DE,Germany,ONLINE,Online,CE,Consumer Electronics,18759.46,EUR
222,2025-04-01,2025-04,2025,4,Apr,DE,Germany,ONLINE,Online,CE,Consumer Electronics,20010.42,EUR
223,2026-04-01,2026-04,2026,4,Apr,DE,Germany,ONLINE,Online,CE,Consumer Electronics,20181.98,EUR
224,2025-05-01,2025-05,2025,5,May,DE,Germany,ONLINE,Online,CE,Consumer Electronics,20808.77,EUR
225,2026-05-01,2026-05,2026,5,May,DE,Germany,ONLINE,Online,CE,Consumer Electronics,21024.71,EUR
226,2025-06-01,2025-06,2025,6,Jun,DE,Germany,ONLINE,Online,CE,Consumer Electronics,21392.27,EUR
